--11-Oct-2010 11:30:22
Researcher: Default Researcher
Subject: Unnamed
1; lvl5_1; 0; 3000; P1
2; lvl5_1; 5588; 8588; P2
3; lvl3_3; 9575; 2575; P1
4; lvl3_3; 15041; 8041; P2
5; lvl8_4; 20133; 3133; P1
6; lvl8_4; 25368; 8368; P2
7; lvl3_2; 29709; 2709; P1
8; lvl3_2; 32813; 5813; P2
9; lvl9_2; 38744; 1744; P1
10; lvl9_2; 44193; 7193; P2
11; lvl7_4; 48858; 1858; P1
12; lvl7_4; 52068; 5068; P2
13; lvl6_3; 57521; 521; P1
14; lvl6_3; 63153; 6153; P2
15; lvl7_5; 68604; 1604; P1
16; lvl7_5; 73714; 6714; P2
17; lvl4_6; 78661; 1661; P1
18; lvl4_6; 83665; 6665; P2
19; lvl6_2; 89268; 2268; P1
20; lvl6_2; 94823; 7823; P2
21; lvl2_1; 98471; 1471; P1
22; lvl2_1; 102739; 5739; P2
23; lvl9_4; 107810; 810; P1
24; lvl9_4; 113248; 6248; P2
25; lvl8_6; 118291; 1291; P1
26; lvl8_6; 122139; 5139; P2
27; lvl5_6; 127767; 767; P1
28; lvl5_6; 133740; 6740; P2
29; lvl9_1; 138284; 1284; P1
30; lvl9_1; 143055; 6055; P2
31; lvl2_4; 147873; 873; P1
32; lvl2_4; 152526; 5526; P2
33; lvl9_5; 157242; 242; P1
34; lvl9_5; 162764; 5764; P2
35; lvl5_5; 167619; 619; P1
36; lvl5_5; 173491; 6491; P2
37; lvl6_6; 178058; 1058; P1
38; lvl6_6; 182868; 5868; P2
39; lvl1_5; 187811; 811; P1
40; lvl1_5; 193686; 6686; P2
41; lvl1_2; 197444; 444; P1
42; lvl1_2; 203016; 6016; P2
43; lvl4_2; 207772; 772; P1
44; lvl4_2; 212277; 5277; P2
45; lvl4_1; 218017; 1017; P1
46; lvl4_1; 222353; 5353; P2
47; lvl2_2; 227132; 132; P1
48; lvl2_2; 232951; 5951; P2
49; lvl8_5; 237477; 477; P1
50; lvl8_5; 242990; 5990; P2
51; lvl7_1; 247578; 578; P1
52; lvl7_1; 252588; 5588; P2
53; lvl3_5; 257198; 198; P1
54; lvl3_5; 262105; 5105; P2
55; lvl10_3; 267419; 419; P1
56; lvl10_3; 272700; 5700; P2
57; lvl3_6; 277414; 414; P1
58; lvl3_6; 282966; 5966; P2
59; lvl10_2; 288693; 1693; P1
60; lvl10_2; 293987; 6987; P2
61; lvl6_5; 297175; 175; P1
62; lvl6_5; 302553; 5553; P2
63; lvl7_6; 307799; 799; P1
64; lvl7_6; 312171; 5171; P2
65; lvl5_4; 318147; 1147; P1
66; lvl5_4; 323837; 6837; P2
